Session, Ramziddin_dev:        	Garbage collected 0 outgoing messages in DC 4, 1 left
Session, Ramziddin_dev:        	Garbage collected 0 outgoing messages in DC 3, 1 left
Session, Ramziddin_dev:        	Garbage collected 14 incoming messages in DC 2, 0 left
Session, Ramziddin_dev:        	Garbage collected 14 outgoing messages in DC 2, 27 left
FeedLoop, Ramziddin_dev:       	Getdiff fed me message of type message in update feed loop channel 1255386798...
PeerHandler, Ramziddin_dev:    	Only have min peer for 314093326 in database, trying to fetch full info
FeedLoop, Ramziddin_dev:       	Getdiff fed me message of type message in update feed loop generic...
FeedLoop, Ramziddin_dev:       	Getdiff fed me message of type message in update feed loop generic...
FeedLoop, Ramziddin_dev:       	Getdiff fed me message of type message in update feed loop generic...
FeedLoop, Ramziddin_dev:       	Getdiff fed me message of type message in update feed loop generic...
FeedLoop, Ramziddin_dev:       	Getdiff fed me message of type message in update feed loop generic...
FeedLoop, Ramziddin_dev:       	Getdiff fed me message of type message in update feed loop generic...
FeedLoop, Ramziddin_dev:       	Getdiff fed me message of type message in update feed loop generic...
FeedLoop, Ramziddin_dev:       	Getdiff fed me message of type message in update feed loop generic...
FeedLoop, Ramziddin_dev:       	Resumed update feed loop generic
FeedLoop, Ramziddin_dev:       	Resumed update feed loop channel 1197396434
FeedLoop, Ramziddin_dev:       	Got channel too long update, getting difference...
FeedLoop, Ramziddin_dev:       	Resumed update feed loop channel 1249308316
FeedLoop, Ramziddin_dev:       	Got channel too long update, getting difference...
FeedLoop, Ramziddin_dev:       	Resumed update feed loop channel 1236802421
FeedLoop, Ramziddin_dev:       	Got channel too long update, getting difference...
FeedLoop, Ramziddin_dev:       	Resumed update feed loop channel 1255386798
FeedLoop, Ramziddin_dev:       	Got channel too long update, getting difference...
FeedLoop, Ramziddin_dev:       	Resumed update feed loop channel 1507101933
FeedLoop, Ramziddin_dev:       	Got channel too long update, getting difference...
FeedLoop, Ramziddin_dev:       	Resumed update feed loop channel 1148551822
FeedLoop, Ramziddin_dev:       	Got channel too long update, getting difference...
FeedLoop, Ramziddin_dev:       	Getdiff fed me message of type message in update feed loop channel 1148551822...
FeedLoop, Ramziddin_dev:       	Getdiff fed me message of type message in update feed loop channel 1197396434...
